id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
2,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,12000,148114.0,5,3,2400.0,200.0,Royal Enfield
3,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2015,Individual,1st owner,23000,89643.0,8,5,2875.0,239.583,Yamaha
5,Honda CB Twister,18000.0,2010,Individual,1st owner,60000,53857.0,13,12,4615.385,384.615,Honda
6,Honda CB Hornet 160R,78500.0,2018,Individual,1st owner,17000,87719.0,5,4,3400.0,283.333,Honda
9,Bajaj Discover 125,50000.0,2016,Individual,1st owner,42000,60122.0,7,9,6000.0,500.0,Bajaj
10,Yamaha FZ16,35000.0,2015,Individual,1st owner,32000,78712.0,8,7,4000.0,333.333,Yamaha
11,Honda Navi,28000.0,2016,Individual,2nd owner,10000,47255.0,7,2,1428.571,119.048,Honda
12,Bajaj Avenger Street 220,80000.0,2018,Individual,1st owner,21178,95955.0,5,5,4235.6,352.967,Bajaj
13,Yamaha YZF R3,365000.0,2019,Individual,1st owner,1127,351680.0,4,1,281.75,23.479,Yamaha
15,Suzuki Access 125 [2007-2016],25000.0,2012,Individual,1st owner,55000,58314.0,11,11,5000.0,416.667,Suzuki
17,Yamaha YZF R15 S,40000.0,2010,Individual,2nd owner,45000,117926.0,13,9,3461.538,288.462,Yamaha
18,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,23000,148114.0,5,5,4600.0,383.333,Royal Enfield
19,Yamaha FZ25,120000.0,2018,Individual,1st owner,39000,132680.0,5,8,7800.0,650.0,Yamaha
21,Honda Navi [2016-2017],26000.0,2016,Individual,1st owner,17450,44389.0,7,4,2492.857,207.738,Honda
22,Honda Activa i,32000.0,2013,Individual,2nd owner,20696,53900.0,10,5,2069.6,172.467,Honda
25,Honda Dream Yuga,25000.0,2012,Individual,1st owner,35000,56147.0,11,7,3181.818,265.151,Honda
27,Honda Navi [2016-2017],42000.0,2017,Individual,1st owner,24000,44389.0,6,5,4000.0,333.333,Honda
28,Yamaha Fazer [2009-2016],40000.0,2013,Individual,3rd owner,35000,84751.0,10,7,3500.0,291.667,Yamaha
30,Hero Glamour 125,55000.0,2017,Individual,1st owner,2500,61600.0,6,1,416.667,34.722,Hero
31,Yamaha FZ S [2012-2016],38000.0,2013,Individual,1st owner,75000,79432.0,10,15,7500.0,625.0,Yamaha
32,Hero Xtreme Sports,43000.0,2016,Individual,2nd owner,50000,78350.0,7,10,7142.857,595.238,Hero
34,Honda CB Shine SP,62000.0,2019,Individual,1st owner,10000,71049.0,4,2,2500.0,208.333,Honda
35,Honda Activa 5G,60000.0,2018,Individual,1st owner,6502,57557.0,5,2,1300.4,108.367,Honda
36,Hero Glamour 125,45000.0,2018,Individual,1st owner,21000,61600.0,5,5,4200.0,350.0,Hero
37,Honda CBR-250R,120000.0,2016,Individual,1st owner,16000,202310.0,7,4,2285.714,190.476,Honda
41,Hero Glamour FI,50000.0,2018,Individual,1st owner,20000,71150.0,5,4,4000.0,333.333,Hero
43,Hero Passion XPro,28000.0,2012,Individual,1st owner,81000,56750.0,11,17,7363.636,613.636,Hero
44,Yamaha FZ S V 2.0,85000.0,2018,Individual,1st owner,8000,84042.0,5,2,1600.0,133.333,Yamaha
45,Hero Achiever 150,29900.0,2016,Individual,1st owner,55000,69750.0,7,11,7857.143,654.762,Hero
46,Bajaj Discover 125,25000.0,2011,Individual,1st owner,57000,60122.0,12,12,4750.0,395.833,Bajaj
47,Yamaha FZ16,30000.0,2009,Individual,2nd owner,26000,78712.0,14,6,1857.143,154.762,Yamaha
48,Yamaha Saluto,60000.0,2018,Individual,1st owner,13000,59844.0,5,3,2600.0,216.667,Yamaha
49,Yamaha FZ16,35000.0,2012,Individual,2nd owner,29000,78712.0,11,6,2636.364,219.697,Yamaha
50,Bajaj Discover 100,25000.0,2010,Individual,1st owner,43000,42859.0,13,9,3307.692,275.641,Bajaj
51,Honda CB Trigger,30000.0,2015,Individual,1st owner,40000,73413.0,8,8,5000.0,416.667,Honda
53,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,49900.0,8,5,3000.0,250.0,Hero
54,Honda Activa 5G,70000.0,2019,Individual,1st owner,3000,59422.0,4,1,750.0,62.5,Honda
